"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"173","Madrid","2005","4","15",2005-04-15,4965769,48147849.15,108695733.85,2.25754079920307,9.69595024456434
"174","Málaga","2005","4","15",2005-04-15,1172755,16285952.5,37696233.35,2.31464713838506,13.8869179837221
"175","Murcia","2005","4","15",2005-04-15,1074547,12342617.6,28694654.55,2.32484352022702,11.4863450365596
"176","Navarra","2005","4","15",2005-04-15,499843,7649310.55,16780905,2.19378006557728,15.303426375882
"177","Ourense","2005","4","15",2005-04-15,307170,2012672,4502615.6,2.2371333232638,6.55230654035225
"178","Palencia","2005","4","15",2005-04-15,152674,1306461.5,2933800.6,2.24560815607655,8.5571970342036
"179","Pontevedra","2005","4","15",2005-04-15,795556,6621563,14655023.1,2.21322716403967,8.32318906525751
"180","Rioja (La)","2005","4","15",2005-04-15,258307,2575467.2,5878505.35,2.28250056921711,9.97056680616476
"181","Salamanca","2005","4","15",2005-04-15,306380,2601550.5,5836039.8,2.24329291320695,8.49125432469482
"182","Segovia","2005","4","15",2005-04-15,134694,1195149,2728971.5,2.28337345385387,8.8730678426656
"183","Sevilla","2005","4","15",2005-04-15,1451836,15929988.5,35183953,2.2086615442315,10.9723057562975
"184","Soria","2005","4","15",2005-04-15,82633,663384,1538677.5,2.31943715856879,8.0280759502862
"185","Tarragona","2005","4","15",2005-04-15,592612,7196762,16690476.15,2.31916466738792,12.1441381544754
"186","Teruel","2005","4","15",2005-04-15,123472,1115996.15,2544006.8,2.27958384981884,9.03845527730983
"187","Toledo","2005","4","15",2005-04-15,496489,4972460.85,11098560.95,2.2320056979433,10.0152487769115
"188","Valencia/València","2005","4","15",2005-04-15,2014397,20635744.1,45177844.15,2.18930046481823,10.2441296824807
"189","Valladolid","2005","4","15",2005-04-15,445030,4484374.85,10154236.7,2.26435947922596,10.0765675347729
"190","Vizcaya","2005","4","15",2005-04-15,993769,8848697.25,20132075.45,2.27514569446932,8.90417919053623
"191","Zamora","2005","4","15",2005-04-15,177904,1313334.5,2937820,2.23691679461706,7.38226515424049
"192","Zaragoza","2005","4","15",2005-04-15,784426,8099037,18067410.25,2.23080969379446,10.324794180713
"193","Álava","2005","5","15",2005-05-15,260982,1652871,3824573.15,2.31389694053559,6.33327585810516
"194","Albacete","2005","5","15",2005-05-15,314481,2714247.65,6111969.25,2.25180972340531,8.63087960798904
"195","Alicante/Alacant","2005","5","15",2005-05-15,1405806,22385873.3,52247774.1,2.333961842802,15.9238709324046
"196","Almería","2005","5","15",2005-05-15,496735,6389782,14946160.8,2.33907209979934,12.8635630668264
"197","Asturias","2005","5","15",2005-05-15,957186,7404283.1,16726037.45,2.25896784659679,7.73546949077818
"198","Ávila","2005","5","15",2005-05-15,147568,1251405.95,2832564.8,2.26350593905998,8.48019862029708
"199","Badajoz","2005","5","15",2005-05-15,545164,5252179.5,11345301.7,2.16011309209824,9.6341275285969
"200","Balears (Illes)","2005","5","15",2005-05-15,793948,19440565.25,46216437.35,2.37731962809055,24.4859427191705
"201","Barcelona","2005","5","15",2005-05-15,4397957,38257651.2,89349967.2,2.33547968569487,8.69895981247657
"202","Burgos","2005","5","15",2005-05-15,314870,2313204.5,5312500.7,2.29659794453971,7.34653825388255
"203","Cáceres","2005","5","15",2005-05-15,342615,3060481,6719046,2.19542156935462,8.93271164426543
"204","Cádiz","2005","5","15",2005-05-15,934233,7814306,17252145.1,2.20776420836348,8.36440802240983
"205","Cantabria","2005","5","15",2005-05-15,487159,4180622,9685280.65,2.31670805205541,8.58163761728717
"206","Castellón/Castelló","2005","5","15",2005-05-15,454921,4612733,10399783.05,2.25458162221832,10.1396352333702
"207","Ciudad Real","2005","5","15",2005-05-15,411670,3785398,8398972.7,2.21878193521527,9.19522433016737
"208","Córdoba","2005","5","15",2005-05-15,634683,6050551.8,13371274.75,2.20992649794354,9.53318711860882
"209","Coruña (A)","2005","5","15",2005-05-15,981848,7051153.05,15772663.79,2.23689142444582,7.18151185315853
